accuracy,bathType,bedType,bedroomType,checkin,cleanliness,communication,guestSatisfaction,isSuperhost,latitude,location,longitude,numBaths,numBeds,numGuests,numHostReviews,numReviews,numRooms,price,rating,responseTimeShown,roomID,roomType,shortDesc,value
10,bath,bed,Studio,10,9,10,97,false,40.750371835419465,10,-73.99857511507079,1,1,2,34,29,0,120,5,,13162066,,Entire home/apt,9
10,bath,beds,Studio,10,10,10,95,true,40.72452869880439,10,-73.98948676182815,1,2,4,,97,0,115,5,,5660615,,Entire home/apt,10
10,bath,beds,bedroom,10,10,10,98,true,40.77600483596279,10,-74.01473271519414,1,2,4,,98,1,120,5,,6348509,,Entire home/apt,10
9,bath,beds,bedrooms,10,9,10,94,true,40.72560205920433,10,-73.97857043213563,1,3,6,178,176,2,112,4.5,,611009,,Entire home/apt,9
10,private bath,bed,bedroom,10,10,10,97,true,40.80290513385959,10,-73.96511239172145,1,1,2,96,47,1,110,5,,17408518,,Private room,10
9,bath,beds,bedrooms,9,9,10,87,false,40.743637768076184,10,-74.00110732513635,1,3,6,,41,2,119,4.5,,16001546,,Entire home/apt,9
10,shared bath,bed,bedroom,10,9,10,95,false,40.75924576377894,10,-73.99135613814828,1,1,2,116,99,1,111,5,,9393674,,Private room,9
10,bath,beds,bedrooms,10,10,10,94,false,40.72079734469573,10,-73.98742852568436,1,3,6,19,19,2,119,4.5,,19901516,,Entire home/apt,10
9,bath,beds,bedrooms,9,9,10,90,true,40.74155074800939,10,-74.03928670412468,1,3,8,,94,2,115,4.5,,1677787,,Entire home/apt,9
9,bath,bed,Studio,10,9,10,93,false,40.708335379594985,10,-73.94717406374217,1,1,2,,10,0,110,4.5,,20566445,,Entire home/apt,9
,bath,beds,bedrooms,,,,,false,40.75147801420475,,-73.98522047697531,1,4,4,49,,2,110,,,22811453,,Entire home/apt,
10,bath,beds,bedroom,10,10,10,98,true,40.76415118333149,10,-73.96944788710722,1,2,4,28,18,1,118,5,,21241568,,Entire home/apt,10
10,bath,bed,bedroom,10,10,10,96,false,40.7721957191009,10,-73.94694042943205,1,1,2,69,68,1,120,5,,17252533,,Entire home/apt,10
9,bath,beds,bedroom,10,9,10,95,true,40.720140048521785,10,-73.99564271145753,1,2,4,,26,1,114,5,,19546713,,Entire home/apt,9
10,bath,beds,Studio,10,9,10,95,false,40.81174899109248,9,-73.9410495583219,1,2,4,,19,0,120,5,,2346671,,Entire home/apt,9
10,bath,beds,Studio,10,10,10,100,true,40.77085896510294,10,-74.02033672114268,1,3,3,21,20,0,120,5,,14622687,,Entire home/apt,10
,bath,bed,bedroom,,,,,false,40.71920332963389,,-73.99011302335606,1,1,2,2,,1,125,,,21736808,,Entire home/apt,
10,bath,beds,bedroom,10,9,10,94,false,40.783600965122886,10,-73.95219998364716,1,2,4,,32,1,130,4.5,,19654970,,Entire home/apt,9
10,shared bath,bed,bedroom,10,10,10,96,false,40.733520772529,10,-73.98776979623182,1,1,4,,10,1,130,5,,21487004,,Private room,10
,bath,bed,Studio,,,,,false,40.755444554656485,,-73.96900963401743,1,1,2,36,,0,125,,,23084751,,Entire home/apt,
